id,query,label
1591,آیا آواز خواندن در دانشگاه مجازه؟,5
1592,دانشگاه شهید بهشتی رتبه جهانیش چنده,5
1593,قیمت مسکن در تهران؟,5
1594,کارتخوان دستگاه قهوه ساز خراب شده,4
1595,وام دانشجویی چجوریاست؟,1
1596,ساعت استفاده از سایت دانشگاه چگونه است؟,2
1597,چرا تی ای های دانشکده برق ول کن نیستن؟,5
1598,انقلاب اسلامی کی اتفاق افتاد؟,5
1599,چند واحد در حذف اضطراری می شود حذف کرد؟,1
1600,امروز بیرون میری؟,5
1601,در فضای مطالعه حرف میزنند.,3
1602,رمز کامپیوتر ها چیه؟,3
1603,جریمه تحویل ندادن کتاب چقدر است ؟,3
1604,درس طراحی الگوریتم یه استاد دیگه ارائه بده.,4
1605,در استخر به دانشکده نزدیک تره.,5
1606,آخرین چاپ کتاب هوش موجود هست؟,3
1607,استخر کی باز هست؟,5
1608,چرا سامانه گلستان اینقدر کنده؟,4
1609,ما باید جور نیومدن اساتید بکشیم,4
1610,آیا کتاب جاوای دایتل در کتابخانه موجود است؟,3
1611,جلوگیری از گیرهای حراست به ظاهر دانشجویان,4
1612,آخرین مهلت حذف و اضافه کی است؟,1
1613,کتاب میخواستم اهدا کنم به کتابخونه.,3
1614,چند سال هست که دانشکده تو این مکان فعلی قرار دارد؟,5
1615,ساعت تردد سرویس خوابگاه؟,2
1616,کلاس 111 کجا هست؟,2
1617,شرایط حذف اضطراری چیست؟,1
1618,هزینه ترم تابستان چقدر می باشد؟,1
1619,حداقل ظرفیت مرود نیاز برای تشکیل شدن کلاس چقدر است؟,1
1620,سنوات تحصیلی یعنی چی؟,1
1621,از سخنران های مطرح دعوت کنید سخنرانی کنن.,4
1622,حذف و اضافه اول ترم چطوریه؟,1
1623,تا چه ساعتی مجاز به ورود به خوابگاهیم؟,2
1624,پارکینگ کجاست؟,2
1625,جلساتی برای آشنایی با حوزه کار گرایش های کارشناسی ارشد برگزار کنید.,4
1626,استاد اکبری درس ارایه میدهد؟,1
1627,چطور می تونم چراغ های لابی رو روشن کنم؟,2
1628,اتوبوس به مرکز شهر قرار دهید.,4
1629,میخوام رمز گلستان رو بازیابی کنم.,1
1630,چطوری درسی که نمره پیشنیازش وارد نشده بردارم؟,1
1631,آیا دانشگاه به دانشجویان متاهل خوابگاه می دهد؟,5
1632,صدای ناشی از تعمیرات ساختمان در کتابخانه اذیت کننده است,4
1633,چگونه میتوانم مرخصی بگیرم؟,1
1634,مزایای تدریس یار شدن چیست ؟,1
1635,جریمه تاخیر کتاب چیست؟,3
1636,رتبه,5
1637,درآمد یک مهندس کامپیوتر چه قدر است؟,5
1638,حالت خوبه؟,5
1639,هر کتاب چه مدت میشه دستم باشه؟,3
1640,بهتر است به اتاق بازی ایر هاکی اضافه کنید.,4
1641,چطور می تونم فرم اشتغال به تحصیل بگیرم؟,1
1642,کجا میشه نماز خوند؟,2
1643,ماشین می توان به دانشگاه آورد؟,5
1644,نحوه دریافت کارنامه مهر شده.,1
1645,شماره آموزش کل چند است؟,2
1646,شهریه هر واحد درسی در ترم تابستان چقدر است؟,1
1647,ماکارونی بهتره یا پیتزا؟,5
1648,دانشگاه زمین فوتبال داره؟,2
1649,دانشکده بوفه دارد؟,2
1650,کجا می توانم کتاب اهدا کنم؟,3
1651,تحویل پروژه دی اس کجاست؟,2
1652,چگونه می توانم غذا رزرو کنم؟,2
1653,ساعت چنده,5
1654,داده ی خام چه کاربردی دارد؟,5
1655,نمازخانه کجاست؟,2
1656,برای ثبت نام باید کجا برم؟,1
1657,دانشگاه خیلی بد مسیر است,5
1658,کجا میتوانم پرینت بگیرم؟,2
1659,باز هم چراغ های کلاس 115 سوخته است.,4
1660,نمرات میانترم را قبل از تاریخ حذف اضطراری اعلام کنید,4
1661,کدام درس ها برای ترم آینده ارایه میشود؟,1
1662,چه ساعاتی می شه از کتابخونه استفاده کرد؟,2
1663,از زندگی راضی هستی؟,5
1664,چگونه میتونم اکانت دانشگاه بسازم؟,3
1665,خودپرداز دانشکده کجا قرار دارد ؟,2
1666,میتونم الگوریتم رو این ترم همراه با ساختمان داده بردارم؟,1
1667,برای ثبت نام باید کجا برم؟,1
1668,رزرو کتاب چه شکلیه؟,3
1669,کتاب فیزیک هالیدی دارین؟,3
1670,لطفا برای کلاس ها سیستم تهویه هوا تعبیه کنید.,4
1671,درگاه اینترنتی دانشکده کامپیوتر چیه؟,2
1672,چطوری انصراف از تحصیل بدم؟,1
1673,کلاس درس هوش دکتر شمس فرد کجا برگزار میشه؟,1
1674,همزمان چند کتاب امانت میتوان گرفت؟,3
1675,این انتخاب واحد نیست انتصاب واحده.,5
1676,سلام کیوسک.,5
1677,فرم اشتغال به تحصیل را چگونه بگیرم؟,1
1678,لابی دانشکده بسیار کثیف است.,4
1679,چطور می شه شناسه بهشتی گرفت؟,1
1680,چگونه معدلمان را بیست کنیم؟,5
1681,درس ها انحصاری نشوند و توسط چند استاد ارائه شوند,4
1682,آیا سیستم های سایت به کابل اینترنت وصل میشوند؟,3
1683,اگر در نظر سنجی شرکت نکنیم چی میشه؟,2
1684,از کجا میشه حذف ترم کرد؟,1
1685,چراغ های لابی رو از کجا می شه روشن کرد؟,2
1686,استاد مهدیانی امتحان غیرمنطقی میگیره,4
1687,کتابخونه رو کی اداره میکنه؟,3
1688,استاد جواب اعتراضات به نمره را در گلستان نمیدهد، چکار کنم؟,1
1689,دانشکده صبح ها چه زمانی بازگشایی میشود؟,2
1690,کلا باید توی دوره کارشناسی چند واحد پاس کنیم؟,1
1691,آزمایشگاه شبکه رو پیدا نمی کنم، کجاست؟,2
1692,ترم تابستون هزینش چطوریه؟,1
1693,نظرسنجی اساتید تا چه روزی مهلت داره؟,1
1694,سنوات چیست؟,1
1695,انجمن ها کجان؟,2
1696,تعداد واحدام به حدنصاب نریسده میتونید یه چندتا درس بدید؟,1
1697,میشود با خودم همراه به دانشکده بیاورم؟,2
1698,آیا در این طبقه نمازخانه هست؟,1
1699,کلاس 110 کجاست؟,2
1700,ساعت کاری آموزش دانشکده تا کی هست؟,2
1701,اینجا در کل چند طبقه است؟,2
1702,نماز خانه دانشکده کجاست؟,2
1703,بوفه کجاست؟,2
1704,دانشکده کامپیوتر چندتا دانشجو داره؟,2
1705,کجا باید مسافرت کرد؟,5
1706,لابی دانشکده کجاست؟,2
1707,آیا برای استفاده از کتابخانه کارت دانشجویی لازم است؟,3
1708,آز فیزیک کجا برگزار میشود؟,1
1709,رمز عبور اولیه برای ورود به سایت چیست؟,3
1710,آیا حقوق زنان ومردان باهم برابر است؟,5
1711,فیلم های آموزشی هم از سایت می توان تهیه کرد؟,3
1712,انتشارات دانشکده کجاست؟,2
1713,دانشکده شب ها تا کی بازه؟,2
1714,کلاس ها را حضوری نمی کنید؟,4
1715,حقوق اساتید چقدر است؟,5
1716,کتابخانه الکترونیکی دانشگاه با کجا لینک است؟,3
1717,توزیع های لینوکسی رو باید از نت بگیرم یا یه سروری تو دانشکده راتش ؟,3
1718,تصادف کردی؟,5
1719,کی کلاسها حضوری میشن؟,4
1720,سایت دانشکده کجاست؟,2
1721,چگونه آدم موفقی باشم؟,5
1722,روز های استفاده از استخر دانشگاه برای بانوان چیه؟,2
1723,مهلت حذف تک درس تا کیه ؟,1
1724,آیا می توان دروس اختیاری را از دانشکده های دیگر برداشت؟,1
1725,دروس کاربردی بیشتری به چارت اضافه کنید.,4
1726,زمان آخرین کلاس قبل عید چیه؟,1
1727,سیستم گرمایشی خرابه لطفا تعمیرش کنید,4
1728,سلف دانشگاه کجاست,2
1729,بین دو ترم فرجه داریم؟,1
1730,تا ساعت چند میتونم در دانشکده باشم؟,2
1731,چه روز هایی دانشکده تعطیل است؟,2
1732,کتاب های دست نویس هم دارین تو قفسه ها؟,3
1733,اخرین چاپ کتاب الگوریتم را دارید؟,3
1734,تاریخ حذف و اضافه چه روزی است؟,1
1735,چگونه تغییر رشته بدهم؟,1
1736,غذاهای سلف خوبه؟,5
1737,به جای سیستم گلستان سیتسم جدیدی رو بیارین.,4
1738,تا کی وقت داریم مدارکمون رو تکمیل کنیم,1
1739,فشار درسی را در کلاس های مجازی کمتر کنید,4
1740,می شه درب اتاق 103 رو باز کنید؟ چون قفله.,2
1741,نوع حکومت انگلستان چیست؟,5
1742,استفاده از سایت محدودیت زمانی دارد؟,3
1743,نرم افزار فتوشاپ روی سیستمی از سایت نصب هست؟,3
1744,آزمایشگاه سخت افزار کجاست؟,2
1745,آیا کنکور ارشد آسونه؟,5
1746,حمایت مالی از انجمن ها و گروه های علمی دانشگاه,4
1747,شرایط اخذ وام متاهلین چیست؟,2
1748,یک درس رو همراه با پیش نیازش میشه باهم برداشت؟,1
1749,می خواستم دکتر صفائی رو ببینم.,2
1750,دستگاه قهوه چگونه کار می,5
1751,چرا درس های پروژه دار را پروژه ای تعریف نمیکنید؟,4
1752,شرایط امتحانات زیادی سخت هستند.,4
1753,ساعت کاری دانشگاه تا کی است؟,2
1754,تا کی میتونم کتاب رو تحویل بدم؟,3
1755,کتابخانه دانشگاه کجا می باشد؟,2
1756,برای کار در حوزه هوش مصنوعی از کجا شروع کنیم؟,5
1757,نتیجه ترکیب رنگ های آبی و قرمز چیه؟,5
1758,فلان استاد بین بچه ها فرق میزاره,4
1759,برای استفاده از کتاب های کتابخانه آیا به کارت نیاز است ؟,3
1760,چطوری فایل تکالیفم رو آپلود کنم؟,5
1761,کتابخانه صبح از ساعت چند باز است؟,3
1762,چجوری میتونم با اساتید حرف بزنم؟,2
1763,اگر عضو نباشیم نمیتونیم کتاب بگیریم؟,3
1764,کتاب های نشر روشن رو دارین؟,3
1765,فرجه نداریم,4
1766,انتخاب واحد ترم تابستون کی هست,1
1767,رتبه معدل من چند است ؟,1
1768,اساتید بیشتری جذب کنید.,4
1769,جند ترم مشروط بشم اخراج میشم؟,1
1770,رییس کل دانشکده کجا هست؟,2
1771,سایت دانشکده کجاست؟,2
1772,در چه زمینه هایی دانشکده در کشور ممتاز است؟,5
1773,صفحه اینستاگرام دانشکده؟,2
1774,شرایط حذف اضطراری چیست؟,1
1775,لطفا فرجه برای امتحانات قرار دهید,4
1776,از ها ارايه میشن,1
1777,به دنبال شغل هستم.,5
1778,راه ورودی به خوابگاه در کجای دانشگاه قرار دارد؟,2
1779,امروز بیشترین سوالی که ازت پرسیده شد ، چی ها بوده است؟,5
1780,معدل بالای چند استعداد درخشان محسوب میشه؟,1
1781,لیگ یا دوتا؟,5
1782,اگر استاد سر امتحان حاضر نشوند تکلیف چیه؟,1
1783,اینترنت دانشکده بسیار کند است,4
1784,خوابگاه از کدوم مسیر نزدیک تره؟,2
1785,حذف ترم چجوریه,1
1786,آمار امروز مبتلایان کرونا.,5
1787,اتاق بازی داریم ؟,2
1788,کتابخانه چه ساعتی باز می شود؟,3
1789,چگونه میتوان با رییس ذانشکده قرار ملاقات گذاشت,2
1790,برای ارشد مستقیم باید چه شرایطی داشت؟,1
1791,قرائت خانه کجاست؟,3
1792,سیستم عامل کامپیوترهای سایت چیست؟,3
1793,کجا میتونم چارت رو ببینم؟,1
1794,اتاق رییس دانشکده کدام طبقه است؟,2
1795,چجوری از اینجا برم خوابگاه؟,2
1796,خوابگاه دانشگاه کجاست؟,2
1797,استاد راهنما چه نقشی داره؟,1
1798,برای مهمان شدن چه اقداماتی باید کرد؟,1
1799,میتوانم برای ترم 9 اقدام کنم؟,1
1800,تاریخ حذف و اضافه کی هست؟,1
1801,ازینجا تا خوابگاه تقریبا چقدر راهه؟,2
1802,تعطیلی بین دو ترم نداریم,4
1803,چند درصد فارغ التحصیلان مقطع کارشناسی مقطع ارشد را در خارج درس می خوانند؟,5
1804,نمره هایم را چگونه ببینم؟,1
1805,به نظرسنجی اساتید توجه نمی شود.,4
1806,کلاس ها حضوری شوند,4
1807,چطوری برنامه درسی مو ببینم؟,1
1808,ریز پردازنده رو این ترم چه استادی ارايه میده,1
1809,یک داخلی برای جواب به سوالات دانشجویان ورودی اختصاص داده شود.,4
1810,چند واحد باید پاس کرد تا مدرک کارشناسی را گرفت؟,1
1811,بوفه کجاست؟,2
1812,کتاب فارسی عمومی دارید؟,3
1813,برای ترم سوم چند واحد درس برداریم؟,2
1814,لیست دروسی که این ترم ارائه میشوند را از کجا میتوانم ببینم؟,1
1815,کد تخفیفی برای هفته کتاب هست؟,5
1816,آیا میتوان به صورت انلاین تاریخ قرض کتاب را تمدید کرد؟,3
1817,نمیتونم وارد سایت گلستان بشم.,1
1818,دفاعیه کجا برقرار می شود؟,1
1819,ساعت چند است؟,5
1820,حمل نقل عمومی بیشتری برای دسترسی به دانشگاه فراهم شود,4
1821,یوزرنیم سیستم های سایت چه میباشد؟,3
1822,بستری رقابتی برای دانشجویان فراهم کنید.,4
1823,انتخاب واحد در چه سامانه ای است؟,1
1824,برای ثبت نام باید کجا برم؟,1
1825,دانشگاه های دیگر برای دروس حذف شده شهریه نمیگیرند، چرا فقط اینجا اینطوری است؟,4
1826,امتحانی که فلان استاد میگیره خارج از مباحث تدریسشه,4
1827,اتاق استاد جهانیان کجاست,2
1828,خورشید پشتش به ماست؟,5
1829,وام دانشجویی از کجا باید گرفت؟,5
1830,کلاس داده کاوی کجا برگزار می,2
1831,اتاقی برای بازی تعیین کنید,4
1832,چرا تایم کلاس ها این قدر بد می باشد؟,4
1833,تعطیلات بعدی کیه؟,5
1834,صندلی های کلاس 200 شکسته اند.,4
1835,آیا امکان پارک کردن موتور در داخل دانشگاه وجود دارد ؟,5
1836,لطفا فضای لابی رو بیشتر کنید.,4
1837,فروشگاه انتشاراتی نزدیک کجاست؟,2
1838,تعداد ترم های مجاز تحصیل چقدره؟,1
1839,چطور روی سرور دانشکده اکانت بگیرم؟,3
1840,حذف نیم سال چیست؟,1
1841,مدت مجاز نگه داری یک کتاب چقدر است؟,3
1842,چگونه ویندوز نصب کنم؟,3
1843,چجوری ثبت نام با تاخیر کنم؟,1
1844,غیبت های موجه رو چجوری رفع کنیم,1
1845,چرا وسط امتحان ها ددلاین فاز یک پروژه می گذارید؟,4
1846,پایان امتحانات چه تاریخی است؟,1
1847,اتاق بازی رو از ما نگیرین.,4
1848,تاریخ امتحانات کی هست؟,1
1849,دانشجویان بیمه می شوند؟,5
1850,دروس عملی به نسبت یک وحد بسیار بیشتر زمان می گیرند.,4
1851,مسابقات ورزشی برگزار کنید.,4
1852,مسائل بهینه سازی چه مسائلی هستند؟,5
1853,سلام کردن بلد هستی ؟,5
1854,چطور میتونم انصراف از تحصیل بدم؟,1
1855,همانطور که انتظار می رود دانشجو سر تایم باشد استاد نیز وقت شناس باش,4
1856,صبح ساعت چند در دانشکده باز می,2
1857,آیا میشه تو سایت بازی هم کرد؟,3
1858,امکان پروژه زدن در دانشکده وجود دارد؟,3
1859,چرا باید درسهای عمومی را بگذرانیم؟,4
1860,کدام کتاب برای درس هوش مصنوعی مناسب هست؟,3
1861,قیمت کارامل ماکیاتو چنده؟,5
1862,کمبود اب در ایران در چه وضعی است؟,5
1863,چرا هر دو گروه درس الگوریتم توسط یک نفر باید ارائه شود؟,1
1864,در گلستان برای من استاد راهنما مشخص نشده.,1
1865,ساعت کاری کتابخانه چیست؟,3
1866,رییس دانشکده کیه؟,2
1867,تفاوت گواهی نامه موقت و دانشنامه چیست؟,1
1868,تابلو اعلانات کجاست,2
1869,یوزرنیم سیستم چیست؟,3
1870,ترم تابستان مشروطی دارد؟,1
1871,شب از چه ساعتی شروع میشه؟,5
1872,اتاق انجمن اسلامی دانشکده کجا است؟,2
1873,زمین چمن رو چجوری میتونیم رزرو کنیم؟,2
1874,تصحیح استاد قوامی زاده سختگیرانست.,4
1875,در کدام طبقه کتابخانه می شود کار گروهی انجام داد؟,3
1876,مدارک لازم برای ثبت نام چیست؟,1
1877,درسای اختیاری بیشتری ارائه بدید,4
1878,ایا با افتادن یک درس ،نمره اولیه آن در معدل موثراست؟,1
1879,چطور میتونم عضو کتابخونه بشم؟,3
1880,کافه ماشین کجاست؟,2
1881,لطفا دوره یادگیری ماشین برگزار کنین.,4
1882,لطفا اساتید نمرات را قبل از حذف و اضافه مشخص کنند.,4
1883,لابی دانشکده رو چرا خراب کردین,4
1884,برای ثبت نام باید کجا برم؟,1
1885,زمان هایی که باید برای ثبت نام حضوری بیایم رو کی بهمون اعلام می کنید؟,1
1886,چرا استاد شاملی نمرات رو اعلام نمیکنه؟,1
1887,کتابی که از کتابخونه مرکزی گرفتم را به کتابخانه دانشکده میتوانم تحویل دهم؟,3
1888,چه تعداد کتاب در کتابخانه موجود است؟,3
1889,رئیس قبلی دانشکده کی بوده؟,2
1890,آخرین مهلت حذف و اضافه؟,1
1891,فرایند ثبت نام حضوریه یا آنلاین ؟,1
1892,قد بلند ترین فرد دانشگاه چه کسی است؟,5
1893,استاد محمدی رفتار مناسبی با دانشجو ندارد,4
1894,سرمایش خوابگاه خواهران مناسب نیست.,4
1895,چطوری باید مدرکمو آزاد کنم ؟,1
1896,بخش مربوط به دانشچویان دکترا در سایت کجاست؟,3
1897,آموزش دانشکده برق کجاست؟,2
1898,آیا دروس آزمایشگاهی را می توان حذف کرد؟,1
1899,چگونه روی سرورو دانشکده اکانت بگیرم؟,3
1900,آیا می توان بدون سنوات حذف ترم کنیم؟,1
1901,شرایط حذف ترم به چه صورت است؟,1
1902,مسئول آموزش برخورد مناسبی با دانشجو ندارد.,4
1903,این دانشکده توی چه زمینه هایی توی کشور برتره؟,5
1904,رفتار آموزش با دانشجو اصلا خوب نیست.,4
1905,صندلی های معمولی در بیرون کلاس ها را بیشتر کنید,4
1906,ورود با وسایل نقلیه به دانشگاه مجاز است؟,2
1907,مایع دستشویی به موقع پر نمی شود.,4
1908,برای استفاده از کامپیوترا باید یوزر داشته باشیم؟,3
1909,بخش خانم ها و اقایان کجاست؟,3
1910,برای ماشین لرنینگ چه دوره ای خوب است؟,5
1911,کار دانشجویی شامل چه جزییات و شرایطی است ؟,2
1912,مهلت انجام تمرین ها و پروژه ها بسیار کم است.,4
1913,محیط دانشکده خیلی سرد و بی روح شده است.,4
1914,میخوام برم کرج؟,5
1915,آبخوری و دستشویی کجاس ؟,2
1916,کتاب برای کامپایلر دارین؟,3
1917,ساختمونی که کنارمون داره ساخته میشه واسه چیه؟,5
1918,تا چند کتاب را می توانم به صورت همزمان قرض بگیرم؟,3
1919,رمز گلستانم را فراموش کرده ام.,1
1920,چرا امکان استفاده از باشکاه برای دانشجوها فراهم نیست؟,5
1921,مهارتهای مورد نیاز یک توسعه دهنده ی فرانت اند؟,5
1922,از کجا باید انتخاب واحد انجام داد؟,1
1923,کپی می خواستم بگیرم. کجا باید برم؟,2
1924,چگونه میتوان به BRT نمایشگاه رفت؟,5
1925,استاد جهانیان تو دانشکده هستن الان؟,2
1926,جشن ورودی های جدید در کجا برگزار می شود؟,2
1927,سم پاشی خوابگاه ها چند بار در سال انجام میشه؟,2
1928,درس طراحی الگوریتم در کدام کلاس تشکیل میشود؟,2
1929,آیا میشه روی کامپیوتر های دانشکده گیم زد؟,3
1930,ظرفیت کلاسها با توجه به تقاضا تعیین شود.,4
1931,اگر یه درسو حذف کنم باید برای دوباره برداشتنش پول بدم؟,1
1932,چطور میتوان TA شد؟,1
1933,تا چه ساعتی در دانشکده باز است؟,2
1934,معدل مشروطی چنده؟,1
1935,در محوطه پسران سطل آشغال نیست.,4
1936,آیا میتونم به سرورای سایت ssh بزنم؟,3
1937,آیا میشه تو لابی نهار خورد؟,2
1938,انتخاب واحد ترم تابستان چگونه است؟,1
1939,کتابخانه تا چه ساعتی باز است؟,3
1940,بازارکار هوش مصنوعی چطور است؟,5
1941,دانشکده الهیات کجاست,2
1942,خوابگاه به شبانه ها میدهند؟,5
1943,آیا صبحانه را میتوان بدون کارت دانشجویی دریافت کرد ؟,5
1944,چگونه می توانم غذا رزرو رو لغو کنم؟,2
1945,لابی چه استفاده ای دارد؟,2
1946,لطفا مهلت نظرسنجی اساتید را تمدید کنید,4
1947,دانشکده از ساعت چند بازه؟,3
1948,الان سایت شلوغه؟,3
1949,چرا کلاس ها را حضوری نمی کنید؟,4
1950,انجمن های دانشگاه از کی مجوز میگیرن؟,2
1951,کتابهای رشته کامپیوتر را از کجا پیدا کنیم؟,3
1952,آیا سیستم ها سی دی میخورن؟,3
1953,دانشگاه کامپیوتر چه زمانی تاسیس شده است؟,2
1954,چگونه میتوان عضو انجمن دانشجویی شد؟,5
1955,سایت دانشکده تا کی هست؟,3
1956,دفتر استاد مهدیانی کدام طبقه قرار دارد؟,2
1957,شماره آموزش دانشکده چند است؟,2
1958,برای ثبت نام باید کجا برم؟,1
1959,شارژر مک داخل سایت هست,3
1960,کتاب تاریخ تمدن اسلامی,3
1961,در چه صورت مشروط می شویم؟,1
1962,معاون آموزش چه کسی است؟,2
1963,چرا آب دستشویی طبقه ۳ قطع است؟,4
1964,اساتید سختگیراند,4
1965,چرا کامپیوتر سایت روشن نمی شود؟,3
1966,مدارک مورد نیاز برای ثبت نام چیه؟,1
1967,استاد عمومی بد درس میدهد,4
1968,برگزاری میتینگ دانشجویی از کجا باید مجوز بگیرد ؟,2
1969,تعداد استادا خیلی کمه میشه چندنفر خوب بیارید؟,4
1970,آی دی کانال آموزش دانشکده چیست؟,1
1971,بیشتر صندلی های دانشکده لق اند.,4
1972,نانوای کجاست,5
1973,کتاب ریزپردازنده را کی پس بیارم؟,3
1974,استاد علی اکبری هنوز در دانشکده فعالیت دارن؟,1
1975,سینک دستشویی برادران طبقه همکف به خوبی آب را خارج نمی کند,4
1976,ظرفیت پیش بینی شده برای کلاس ها منطقی نیست.,4
1977,بهتر است مسابقات برنامه نویسی بیشتری برگزار شود.,4
1978,ابنتو چجوری نصب کنم,3
1979,فایلها تو ال ام اس آپلود نمیشه.,4
1980,آیا می توانم در حذف اضطراری دو درس را حذف کنم؟,1
1981,طریقه دریافت وام دانشجویی؟,1
1982,ترم تابستان شهریه دارد؟,1
1983,کامپیوتری که برای سرچ کتاب ها کجاست؟,3
1984,پسورد سیستم های سایت چه میباشد؟,3
1985,نمرات در طول ترم را زیاد کنید,4
1986,سلف دانشگاه کجاست؟,2
1987,فرآیند انتخاب اعضای دانشکده چگونه است؟,5
1988,رشته مهندسی کامپیوتر چند واحد درس تخصصی دارد؟,1
1989,امروز چندمه؟,5
1990,مهلت تکمیل مدارک تحصیلی تا چه تاریخی است؟,1
1991,رفتار مسئولین اموزش خوب نیست,4
1992,برای ثبت نام چه فرم هایی لازم دارم؟,1
1993,کتبخونه تا کی باز هست؟,3
1994,جمعه ها دانشگاه بازه؟,5
1995,حذف پزشکی چیه؟,1
1996,شرایط همکاری با اساتید.,2
1997,زیراکس کجاست؟,2
1998,حذف تک درس چجوریه؟,1
1999,دفتر استاد سلیمی کجاست؟,2
2000,امروز خیلی سرد شده.,5
2001,جریمه دیرکرد چقدره؟,3
2002,چند درصد مردم واکسن زدن؟,5
2003,بوفه ها مواد غذایی را از کجا میگیرند,5
2004,هیچی از درس فلان استاد نمیفهمم,4
2005,امفی کجاست,2
2006,جمعه ها بوفه باز است؟,2
2007,دانشگاه شهید بهشتی چه رشته هایی در فوق لیسانس ارائه میدهد؟,5
2008,برخی اساتید عمده ی زمان کلاس را صرف حضورغیاب میکنند.,4
2009,انتخاب سرپرست تیم حل تمرین از دانشجویان مقاطع بالاتر انجام شود.,4
2010,کتابخانه کجاست؟,2
2011,میزان تاخیر در هرکلاس تا چقدر است؟,1
2012,آسانسور خرابه,4
2013,حداکثر واحد مجاز چند واحده؟,1
2014,بوفه دانشکده کجاست؟,2
2015,برای حذف تک درس کیا باید تایید کنن ؟,1
2016,تبدیل vga به hdmi تو دانشکده هست ؟,2
2017,مهلت ارزشیابی اساتید تمام شده و من ارزشیابی تکمیل نکردم راه جبرانی هست؟,1
2018,آموزش کل چه ساعتایی هست؟,2
2019,استاد سرامتحان حاضر نشده ، چه باید کنیم؟,1
2020,کیفیت هوا چگونه است؟,5
2021,تعداد کمدها رو زیاد کنید!,4
2022,دانشگاه چه ساعتی میبندد؟,2
2023,مهلت خذف و اضافه تا کیه ؟,1
2024,آیا دانشکده در ایام کرونا باز است؟,2
2025,کتاب پدرونی هست؟,3
2026,انتخاب واحد دورودی ۹۸ چه زمان است؟,1
2027,اعضای هیئت علمی دانشکده ریاضی چه کسانی اند؟,2
2028,تا حالا مهلت حذف تک درس تمدید شده ؟,1
2029,شماره صندلی های امتحانات را کجا ببینم؟,1
2030,بررسی و غربالگری سلامت دانشجویان به صورت سالانه انجام شود.,4
2031,الاهیات کجای دانشگاهه؟,5
2032,کجا میتونم رمز پرتالم رو عوض کنم؟,1
2033,سنگین ترین دانشجوی دانشکده کیست؟,5
2034,چطور درست بردارم؟,1
2035,چطور عضو کتاب خونه بشم؟,3
2036,کولر اتاق 004 کار نمیکنه.,4
2037,چرا هر ترم فرجه نداریم؟,4
2038,لطفا جلساتی با سرگروه های آموزشی جهت پاسخ دهی به سوالات دانشجویان برگزار شود.,4
2039,برای رشته ی هوش مصنوعی کتاب دارین؟,3
2040,نیمکت های بوفه را تعمیر کنید.,4
2041,سرویس خوابگاه پسران نامنظم است.,4
2042,چجوری سانس سالن بگیریم؟,2
2043,اتاق بازی کجاست؟,2
2044,ip static ست کنم چی میشه ؟,3
2045,دکتر شاملی چه زمان هایی توی دفترشون هستند؟,2
2046,تعداد دانشجویان چقدر است,5
2047,این ترم مدرسه تکمیلی ارائه میشه؟,1
2048,مسئول خوابگاه ها کیست؟,2
2049,نحوه اجاره سانس سالن های ورزشی چگونه است؟,2
2050,چرا سامانه کورس ویر ساعت درستی ندارد ؟,5
2051,دانشگاه تهران این ترم مهمان میگیره؟,5
2052,تا کی میشود نهار رزرو کرد؟,2
2053,دانشکده الاهیات کجاست؟,5
2054,اتاق استاد شمس کجاست,2
2055,چرا درس طراحی الگوریتم را فقط یک استاد ارائه میدهد؟,4
2056,چطور می توانم در کتابخانه عضو شوم؟,3
2057,توی طبقه همکف سینک های دستشویی برادران آب رو خوب خارج نمی کنن.,4
2058,میشه 24 واحد برداشت؟,1
2059,کلاس درس هوش کجاست؟,1
2060,چند تا کتاب میشه قرض گرفت؟,3
2061,چگونه جریمه هارا بپردازم؟,3
2062,کمی به ما استراحت بدهید,4
2063,سیستم های سایت قوین؟,3
2064,معدل کلم چنده؟,1
2065,آمفی تئاتر کجاست ؟,2
2066,کاپشنم را در دانشکده گم کرده ام، کجا می توانم آن را پیدا کنم؟,2
2067,تعداد واحدهای مجاز برای حذف و اضافه چقدر است؟,1
2068,در دانشکده ساعت چند بسته می شود؟,2
2069,بعضی وسایل اتاق بازی باید تعمیر شن.,4
2070,سایت صبح از ساعت چند باز است؟,3
2071,چگونه با لینوکس کار کنم؟,3
2072,آیا میتونم نرم افزار مورد نیازم را روی کامپیوتر های سایت نصب کنم؟,3
2073,خونه خالیه,5
2074,دانشگاه تا ساعت چند باز است؟,2
2075,خوابگاه کجاست؟,2
2076,زباله های خوابگاه را چه ساعتی باید گذاشت دم در؟,5
2077,امروز ناهار چی داریم؟,5
2078,دمای هوا امروز چقدر است؟,5
2079,پروژکتور کلاس 110 خراب است، لطفا رسیدگی بفرمائید.,4
2080,واحدام به حد نصاب نرسیده باید چی کار کنم؟,1
2081,اتاق بازی را دوباره راه اندازی کنید,4
2082,قضیه سنوات چطوریاست؟,1
2083,شرایط گرفتن کتاب چجوریه؟,3
2084,محل انجام ثبت نام کجا میباشد؟,1
2085,استخر دانشگاه کجاست؟,5
2086,در ورودی های خودم رتبه چندمم؟,1
2087,شهریه قسمت پردیس داشگاه چقدر است ؟,5
2088,میتونم دوستم رو به عنوان مهمان به دانشگاه بیارم؟,2
2089,به لابی نیاز داریم یکاری کنید,4
2090,میخوام روزه بگیرم,5
